, 美元(USD),27.6800,27.8000,27.7100,27.7700,27.4000,28.0200
0, 歐元(EUR),31.1,31.6,31.16,31.54,30.6700,31.9500
1, 日圓(JPY),0.2413,0.2463,0.2423,0.2453,0.2373,0.2483
2, 人民幣(CNY),4.33,4.405,4.34,4.395,4.2300,4.4250
3, 港幣(HKD),3.518,3.598,3.528,3.588,3.4380,3.6380
4, 澳大利亞幣(AUD),19.64,19.94,19.67,19.91,--,--
5, 紐西蘭幣(NZD),18.64,19.0,18.66,18.98,--,--
6, 南非幣(ZAR),1.7,1.82,1.705,1.815,--,--
7, 加拿大幣(CAD),21.75,22.15,21.78,22.12,--,--
8, 英鎊(GBP),36.31,36.93,36.37,36.87,--,--
9, 瑞士法郎(CHF),29.78,30.3,29.81,30.27,--,--
10, 瑞典幣(SEK),2.978,3.138,2.988,3.128,--,--
11, 新加坡幣(SGD),20.14,20.54,20.17,20.51,--,--
12, 泰國幣(THB),0.799,0.859,0.802,0.856,--,--
13, 丹麥幣(DKK),4.14,4.3,4.15,4.29,--,--
14, 土耳其里拉(TRY),1.665,2.385,1.695,2.355,--,--
